,0
0,-3.1875335094654784
1,-2.2908360264553793
2,-1.1859538949807589
3,-0.25251950304714266
4,2.0549952444230977
5,2.925786460199803
6,5.0625097795643
7,7.35778756205898
8,9.233045777688007
9,10.5490828750461
10,12.091291421391809
11,14.089199256868538
12,13.869047002557929
13,15.97462454958515
14,15.895584336239178
15,16.35371937819832
16,16.902440587989425
17,16.043061419743086
18,15.24716959661909
19,14.076375266410292
20,12.164726122824792
21,10.656478451427347
22,8.361111362998734
23,6.065351346460345
24,2.4902239979700167
25,1.553162315387668
26,-1.421816338389829
27,-3.3503278211000374
28,-7.0526217127013995
29,-8.525513185723423
30,-11.921419147864855
31,-13.154298992134338
32,-15.420146973719634
33,-16.85517398501656
34,-16.96116579930336
35,-19.626691460110976
36,-19.70861829274764
37,-19.889871591959817
38,-20.865812116474682
39,-19.647008964827833
40,-20.405069592530392
41,-18.28243436946694
42,-17.77189473922031
43,-17.632451597688956
44,-16.09860688739156
45,-14.582317813901891
46,-13.826934847192778
47,-10.993611708772363
48,-9.923640246587542
49,-8.398553959792482
50,-6.5678028223674545
51,-5.545280942227642
52,-4.513642559569724
53,-2.8862421044314983
54,-1.2990976313412206
55,-0.5018590567682286
56,0.26312601655402024
57,1.2894536482552048
58,0.1380028887373781
59,0.39935833127111087
60,0.4309474263889423
61,0.850363437761535
62,0.2847444489854753
63,-1.2806886717022596
64,-1.8258955654599034
65,-3.6186646010751993
66,-4.02906847281264
67,-4.326595179761346
68,-5.589209363100483
69,-7.662400934909765
70,-8.801530469010881
71,-9.710214054145808
72,-11.07148965017286
73,-10.498536107633822
74,-10.623372560158959
75,-11.181410579121227
76,-11.903717621524688
77,-11.34562545430707
78,-11.415934698298235
79,-10.207090428832773
80,-8.95941033741842
81,-7.876300822088937
82,-6.457567055699579
83,-5.808110073261457
84,-4.7643169777832695
85,-3.5999985325228385
86,-2.8158551427542773
87,0.5087693446538211
88,-0.02816027156984996
89,1.6249406678107563
90,0.917534757893919
91,1.6509600233866197
92,2.3025040036086195
93,2.6162826570512574
94,2.580210337365382
95,1.4163412820718158
96,1.0740959935669736
97,0.7105647251056081
98,0.008009544150878511
99,-1.6186329161694544
100,-2.4001127628815175
101,-3.4612807375518955
102,-4.4825029721782315
103,-4.473561804609364
104,-6.598158087746528
105,-7.182467028652353
106,-9.044522779199982
107,-9.208049489381564
108,-9.553670072115388
109,-11.522757581544006
110,-11.957600643317715
111,-12.95798954735625
112,-13.436780212544862
113,-13.74775945267075
114,-15.470664146932512
115,-15.05044330758037
116,-14.615971646578759
117,-14.241201447755218
118,-14.30996613217982
119,-13.773330593567032
120,-11.90569543786766
121,-11.061117606073902
122,-9.842184552528636
123,-7.83990793358679
124,-6.260175432841377
125,-3.594270613611353
